tweet_id,tweet_content,sentiment_label
143,"This app crashes all the time, really frustrating.",negative
144,So proud of my team for completing the project on time!,negative
145,So excited for the weekend trip! Can't wait!,positive
146,"I don't really have any plans this weekend, kind of boring.",neutral
147,Absolutely devastated by the news today.,negative
148,"This app crashes all the time, really frustrating.",neutral
149,Loving my new workout routine!,neutral
150,"I'm indifferent to the whole situation, not bothered either way.",neutral
151,"This app crashes all the time, really frustrating.",negative
152,Why do people always complain about everything?,negative
153,"I don't really have any plans this weekend, kind of boring.",negative
154,I hate waiting for customer service. It's so frustrating!,neutral
155,"It’s just another Monday, nothing special.",positive
156,The service at this restaurant was terrible. Never coming back!,neutral
157,Can't stop thinking about the movie I saw last night!,negative
158,"It’s just another Monday, nothing special.",positive
159,Why do people always complain about everything?,positive
160,Why do people always complain about everything?,positive
161,I'm so angry about the way the game ended last night!,neutral
162,"This app crashes all the time, really frustrating.",positive
163,I hate waiting for customer service. It's so frustrating!,negative
164,I feel so blessed to have such supportive friends!,positive
165,"The weather is nice today, perfect for a walk.",negative
166,The service at this restaurant was terrible. Never coming back!,positive
167,The service at this restaurant was terrible. Never coming back!,negative
168,"I don't really have any plans this weekend, kind of boring.",negative
169,Why do people always complain about everything?,negative
170,The service at this restaurant was terrible. Never coming back!,neutral
171,"I'm indifferent to the whole situation, not bothered either way.",neutral
172,So excited for the weekend trip! Can't wait!,positive
173,Such an inspiring speech by the CEO today!,neutral
174,The service at this restaurant was terrible. Never coming back!,neutral
175,"The weather is nice today, perfect for a walk.",negative
176,I'm so angry about the way the game ended last night!,neutral
177,I love this new phone! It's amazing!,neutral
178,"I don't really have any plans this weekend, kind of boring.",neutral
179,"This app crashes all the time, really frustrating.",neutral
180,"I'm indifferent to the whole situation, not bothered either way.",negative
181,I hate waiting for customer service. It's so frustrating!,positive
182,"The weather is nice today, perfect for a walk.",neutral
183,Why do people always complain about everything?,negative
184,I love this new phone! It's amazing!,positive
185,I'm not sure how I feel about this new technology.,positive
186,"I'm indifferent to the whole situation, not bothered either way.",positive
187,I feel so blessed to have such supportive friends!,negative
188,Really upset with the results of the election.,negative
189,"I'm indifferent to the whole situation, not bothered either way.",positive
190,I love this new phone! It's amazing!,positive
191,Loving my new workout routine!,positive
192,"The weather is nice today, perfect for a walk.",negative
193,So excited for the weekend trip! Can't wait!,neutral
194,Such an inspiring speech by the CEO today!,negative
195,"It’s just another Monday, nothing special.",negative
196,So proud of my team for completing the project on time!,negative
197,Such an inspiring speech by the CEO today!,positive
198,"It’s just another Monday, nothing special.",negative
199,Really upset with the results of the election.,negative
200,"It’s just another Monday, nothing special.",negative
201,"It’s just another Monday, nothing special.",neutral
202,"It’s just another Monday, nothing special.",positive
203,I'm not sure how I feel about this new technology.,positive
204,Really upset with the results of the election.,negative
205,Why do people always complain about everything?,neutral
206,"The weather is nice today, perfect for a walk.",neutral
207,Really upset with the results of the election.,negative
208,"I'm indifferent to the whole situation, not bothered either way.",neutral
209,Loving my new workout routine!,positive
210,"It’s just another Monday, nothing special.",negative
211,So excited for the weekend trip! Can't wait!,negative
212,I love this new phone! It's amazing!,positive
213,I feel so blessed to have such supportive friends!,positive
214,I'm not sure how I feel about this new technology.,neutral
215,I'm not sure how I feel about this new technology.,negative
216,I feel so blessed to have such supportive friends!,neutral
217,"This app crashes all the time, really frustrating.",positive
218,I love this new phone! It's amazing!,negative
219,Just got a promotion at work! Feeling on top of the world!,negative
220,Loving my new workout routine!,positive
221,Such an inspiring speech by the CEO today!,negative
222,"This app crashes all the time, really frustrating.",positive
223,So excited for the weekend trip! Can't wait!,positive
224,"It’s just another Monday, nothing special.",neutral
225,So excited for the weekend trip! Can't wait!,negative
226,Absolutely devastated by the news today.,neutral
227,So excited for the weekend trip! Can't wait!,positive
228,"The weather is nice today, perfect for a walk.",positive
229,Just got a promotion at work! Feeling on top of the world!,positive
230,Absolutely devastated by the news today.,neutral
231,Why do people always complain about everything?,positive
232,I'm not sure how I feel about this new technology.,neutral
233,I feel so blessed to have such supportive friends!,positive
234,Really upset with the results of the election.,negative
235,I love this new phone! It's amazing!,positive
236,So excited for the weekend trip! Can't wait!,negative
237,Why do people always complain about everything?,neutral
238,I'm not sure how I feel about this new technology.,negative
239,I hate waiting for customer service. It's so frustrating!,positive
240,The service at this restaurant was terrible. Never coming back!,neutral
241,Why do people always complain about everything?,neutral
242,Just got a promotion at work! Feeling on top of the world!,neutral
243,I'm not sure how I feel about this new technology.,neutral
244,"I don't really have any plans this weekend, kind of boring.",neutral
245,Just got a promotion at work! Feeling on top of the world!,neutral
246,Absolutely devastated by the news today.,neutral
247,"This app crashes all the time, really frustrating.",negative
248,Such an inspiring speech by the CEO today!,negative
249,"The weather is nice today, perfect for a walk.",negative
250,Really upset with the results of the election.,negative
251,"I don't really have any plans this weekend, kind of boring.",positive
252,"The weather is nice today, perfect for a walk.",negative
253,Why do people always complain about everything?,positive
254,Such an inspiring speech by the CEO today!,positive
255,"This app crashes all the time, really frustrating.",neutral
256,The service at this restaurant was terrible. Never coming back!,negative
257,Really upset with the results of the election.,negative
258,Loving my new workout routine!,neutral
259,Absolutely devastated by the news today.,neutral
260,Such an inspiring speech by the CEO today!,positive
261,"The weather is nice today, perfect for a walk.",negative
262,"The weather is nice today, perfect for a walk.",neutral
263,I feel so blessed to have such supportive friends!,neutral
264,I hate waiting for customer service. It's so frustrating!,positive
265,So excited for the weekend trip! Can't wait!,negative
266,"I'm indifferent to the whole situation, not bothered either way.",negative
267,Can't stop thinking about the movie I saw last night!,negative
268,Absolutely devastated by the news today.,neutral
269,I feel so blessed to have such supportive friends!,neutral
270,"I'm indifferent to the whole situation, not bothered either way.",neutral
271,So proud of my team for completing the project on time!,neutral
272,Really upset with the results of the election.,positive
273,Why do people always complain about everything?,negative
274,So excited for the weekend trip! Can't wait!,negative
275,"It’s just another Monday, nothing special.",neutral
276,Really upset with the results of the election.,negative
277,"I'm indifferent to the whole situation, not bothered either way.",neutral
278,"The weather is nice today, perfect for a walk.",positive
279,I hate waiting for customer service. It's so frustrating!,negative
280,I feel so blessed to have such supportive friends!,positive
281,I hate waiting for customer service. It's so frustrating!,neutral
282,Just got a promotion at work! Feeling on top of the world!,positive
283,I'm so angry about the way the game ended last night!,positive
284,I hate waiting for customer service. It's so frustrating!,neutral
285,"This app crashes all the time, really frustrating.",positive
286,Absolutely devastated by the news today.,positive
287,"It’s just another Monday, nothing special.",negative
288,"This app crashes all the time, really frustrating.",negative
289,I'm not sure how I feel about this new technology.,negative
290,Such an inspiring speech by the CEO today!,neutral
291,I hate waiting for customer service. It's so frustrating!,negative
292,I love this new phone! It's amazing!,neutral
293,Such an inspiring speech by the CEO today!,positive
294,"This app crashes all the time, really frustrating.",negative
295,"The weather is nice today, perfect for a walk.",negative
296,Such an inspiring speech by the CEO today!,negative
297,"This app crashes all the time, really frustrating.",neutral
298,The service at this restaurant was terrible. Never coming back!,positive
299,"It’s just another Monday, nothing special.",positive
300,Can't stop thinking about the movie I saw last night!,negative
301,"I don't really have any plans this weekend, kind of boring.",neutral
302,I'm so angry about the way the game ended last night!,negative
303,I'm so angry about the way the game ended last night!,negative
304,Really upset with the results of the election.,negative
305,Really upset with the results of the election.,neutral
306,Just got a promotion at work! Feeling on top of the world!,negative
307,Can't stop thinking about the movie I saw last night!,positive
308,The service at this restaurant was terrible. Never coming back!,neutral
309,"The weather is nice today, perfect for a walk.",positive
310,I hate waiting for customer service. It's so frustrating!,negative
311,Just got a promotion at work! Feeling on top of the world!,negative
312,Can't stop thinking about the movie I saw last night!,negative
313,"I'm indifferent to the whole situation, not bothered either way.",positive
314,Loving my new workout routine!,positive
315,Loving my new workout routine!,positive
316,Absolutely devastated by the news today.,neutral
317,"The weather is nice today, perfect for a walk.",positive
318,So proud of my team for completing the project on time!,negative
319,Just got a promotion at work! Feeling on top of the world!,neutral
320,"This app crashes all the time, really frustrating.",positive
321,Why do people always complain about everything?,neutral
322,Why do people always complain about everything?,positive
323,"It’s just another Monday, nothing special.",negative
324,The service at this restaurant was terrible. Never coming back!,positive
325,I love this new phone! It's amazing!,positive
326,Just got a promotion at work! Feeling on top of the world!,neutral
327,Why do people always complain about everything?,negative
328,So excited for the weekend trip! Can't wait!,positive
329,"This app crashes all the time, really frustrating.",negative
330,"It’s just another Monday, nothing special.",negative
331,Absolutely devastated by the news today.,negative
332,Really upset with the results of the election.,neutral
333,So excited for the weekend trip! Can't wait!,positive
334,I love this new phone! It's amazing!,negative
335,Can't stop thinking about the movie I saw last night!,positive
336,The service at this restaurant was terrible. Never coming back!,positive
337,"I'm indifferent to the whole situation, not bothered either way.",positive
338,"It’s just another Monday, nothing special.",positive
339,Just got a promotion at work! Feeling on top of the world!,neutral
340,"This app crashes all the time, really frustrating.",neutral
341,Just got a promotion at work! Feeling on top of the world!,neutral
342,Loving my new workout routine!,neutral
343,The service at this restaurant was terrible. Never coming back!,negative
344,Absolutely devastated by the news today.,negative
345,I hate waiting for customer service. It's so frustrating!,neutral
346,So excited for the weekend trip! Can't wait!,neutral
347,"This app crashes all the time, really frustrating.",positive
348,Why do people always complain about everything?,negative
349,Loving my new workout routine!,positive
350,I love this new phone! It's amazing!,negative
351,So proud of my team for completing the project on time!,positive
352,Such an inspiring speech by the CEO today!,positive
353,Really upset with the results of the election.,negative
354,Such an inspiring speech by the CEO today!,positive
355,Can't stop thinking about the movie I saw last night!,positive
356,"The weather is nice today, perfect for a walk.",negative
357,I'm not sure how I feel about this new technology.,positive
358,Absolutely devastated by the news today.,neutral
359,So excited for the weekend trip! Can't wait!,positive
360,"The weather is nice today, perfect for a walk.",negative
361,So proud of my team for completing the project on time!,neutral
362,Just got a promotion at work! Feeling on top of the world!,neutral
363,I'm not sure how I feel about this new technology.,negative
364,Just got a promotion at work! Feeling on top of the world!,negative
365,Really upset with the results of the election.,negative
366,Such an inspiring speech by the CEO today!,positive
367,Can't stop thinking about the movie I saw last night!,neutral
368,Really upset with the results of the election.,negative
369,I love this new phone! It's amazing!,positive
370,"It’s just another Monday, nothing special.",neutral
371,Loving my new workout routine!,neutral
372,Such an inspiring speech by the CEO today!,neutral
373,Loving my new workout routine!,neutral
374,"The weather is nice today, perfect for a walk.",positive
375,Just got a promotion at work! Feeling on top of the world!,negative
376,So excited for the weekend trip! Can't wait!,neutral
377,Absolutely devastated by the news today.,negative
378,"It’s just another Monday, nothing special.",neutral
379,Why do people always complain about everything?,neutral
380,Can't stop thinking about the movie I saw last night!,negative
381,I love this new phone! It's amazing!,negative
382,I hate waiting for customer service. It's so frustrating!,negative
383,I feel so blessed to have such supportive friends!,negative
384,I feel so blessed to have such supportive friends!,neutral
385,I'm not sure how I feel about this new technology.,positive
386,"I don't really have any plans this weekend, kind of boring.",negative
387,Such an inspiring speech by the CEO today!,negative
388,"The weather is nice today, perfect for a walk.",neutral
389,I feel so blessed to have such supportive friends!,negative
390,"This app crashes all the time, really frustrating.",neutral
391,Can't stop thinking about the movie I saw last night!,negative
392,I feel so blessed to have such supportive friends!,positive
393,I feel so blessed to have such supportive friends!,positive
394,So proud of my team for completing the project on time!,neutral
395,Just got a promotion at work! Feeling on top of the world!,neutral
396,I'm not sure how I feel about this new technology.,positive
397,Such an inspiring speech by the CEO today!,positive
398,Really upset with the results of the election.,negative
399,I love this new phone! It's amazing!,positive
400,Just got a promotion at work! Feeling on top of the world!,neutral
401,Just got a promotion at work! Feeling on top of the world!,positive
402,I hate waiting for customer service. It's so frustrating!,negative
403,I feel so blessed to have such supportive friends!,positive
404,I'm so angry about the way the game ended last night!,neutral
405,I'm not sure how I feel about this new technology.,neutral
406,Really upset with the results of the election.,neutral
407,So proud of my team for completing the project on time!,neutral
408,"I don't really have any plans this weekend, kind of boring.",negative
409,"This app crashes all the time, really frustrating.",neutral
410,I'm so angry about the way the game ended last night!,positive
411,I hate waiting for customer service. It's so frustrating!,negative
412,Just got a promotion at work! Feeling on top of the world!,negative
413,Just got a promotion at work! Feeling on top of the world!,neutral
414,So proud of my team for completing the project on time!,negative
415,"I'm indifferent to the whole situation, not bothered either way.",negative
416,Just got a promotion at work! Feeling on top of the world!,negative
417,So proud of my team for completing the project on time!,positive
418,So excited for the weekend trip! Can't wait!,positive
419,So excited for the weekend trip! Can't wait!,positive
420,"This app crashes all the time, really frustrating.",negative
421,Loving my new workout routine!,positive
422,Why do people always complain about everything?,negative
423,Absolutely devastated by the news today.,neutral
424,"I don't really have any plans this weekend, kind of boring.",negative
425,The service at this restaurant was terrible. Never coming back!,negative
426,"This app crashes all the time, really frustrating.",neutral
427,Loving my new workout routine!,neutral
428,The service at this restaurant was terrible. Never coming back!,neutral
429,"The weather is nice today, perfect for a walk.",positive
430,Why do people always complain about everything?,negative
431,I feel so blessed to have such supportive friends!,negative
432,"This app crashes all the time, really frustrating.",neutral
433,So excited for the weekend trip! Can't wait!,positive
434,I hate waiting for customer service. It's so frustrating!,neutral
435,I love this new phone! It's amazing!,negative
436,Why do people always complain about everything?,neutral
437,Such an inspiring speech by the CEO today!,positive
438,Why do people always complain about everything?,positive
439,"I don't really have any plans this weekend, kind of boring.",positive
440,"The weather is nice today, perfect for a walk.",neutral
441,"The weather is nice today, perfect for a walk.",negative
442,Just got a promotion at work! Feeling on top of the world!,positive
443,Loving my new workout routine!,positive
444,"I don't really have any plans this weekend, kind of boring.",negative
445,I hate waiting for customer service. It's so frustrating!,neutral
446,"It’s just another Monday, nothing special.",positive
447,Such an inspiring speech by the CEO today!,negative
448,I hate waiting for customer service. It's so frustrating!,neutral
449,Really upset with the results of the election.,neutral
450,"It’s just another Monday, nothing special.",neutral
451,Can't stop thinking about the movie I saw last night!,positive
452,"I'm indifferent to the whole situation, not bothered either way.",negative
453,I'm not sure how I feel about this new technology.,neutral
454,Really upset with the results of the election.,neutral
455,Can't stop thinking about the movie I saw last night!,positive
456,"It’s just another Monday, nothing special.",neutral
457,I'm so angry about the way the game ended last night!,positive
458,I love this new phone! It's amazing!,negative
459,I hate waiting for customer service. It's so frustrating!,neutral
460,Just got a promotion at work! Feeling on top of the world!,negative
461,So proud of my team for completing the project on time!,positive
462,Really upset with the results of the election.,neutral
463,"It’s just another Monday, nothing special.",positive
464,I'm so angry about the way the game ended last night!,negative
465,I feel so blessed to have such supportive friends!,positive
466,Just got a promotion at work! Feeling on top of the world!,positive
467,"I'm indifferent to the whole situation, not bothered either way.",negative
468,"It’s just another Monday, nothing special.",positive
469,Absolutely devastated by the news today.,positive
470,Loving my new workout routine!,neutral
471,Really upset with the results of the election.,neutral
472,I'm so angry about the way the game ended last night!,negative
473,Just got a promotion at work! Feeling on top of the world!,positive
474,I feel so blessed to have such supportive friends!,negative
475,"I'm indifferent to the whole situation, not bothered either way.",positive
476,Why do people always complain about everything?,positive
477,So proud of my team for completing the project on time!,positive
478,"This app crashes all the time, really frustrating.",neutral
479,"It’s just another Monday, nothing special.",positive
480,Absolutely devastated by the news today.,neutral
481,"The weather is nice today, perfect for a walk.",negative
482,Absolutely devastated by the news today.,positive
483,I love this new phone! It's amazing!,positive
484,"I'm indifferent to the whole situation, not bothered either way.",negative
485,Loving my new workout routine!,negative
486,I love this new phone! It's amazing!,positive
487,The service at this restaurant was terrible. Never coming back!,positive
488,I'm not sure how I feel about this new technology.,positive
489,Why do people always complain about everything?,positive
490,"It’s just another Monday, nothing special.",negative
491,I'm not sure how I feel about this new technology.,positive
492,"This app crashes all the time, really frustrating.",negative
493,Can't stop thinking about the movie I saw last night!,negative
494,Really upset with the results of the election.,negative
495,I feel so blessed to have such supportive friends!,neutral
496,Loving my new workout routine!,positive
497,Just got a promotion at work! Feeling on top of the world!,positive
498,I'm not sure how I feel about this new technology.,neutral
499,"I don't really have any plans this weekend, kind of boring.",negative
500,"The weather is nice today, perfect for a walk.",negative
501,Absolutely devastated by the news today.,neutral
502,I hate waiting for customer service. It's so frustrating!,negative
503,I'm so angry about the way the game ended last night!,neutral
504,"I don't really have any plans this weekend, kind of boring.",negative
505,I'm not sure how I feel about this new technology.,positive
506,Just got a promotion at work! Feeling on top of the world!,negative
507,Absolutely devastated by the news today.,negative
508,So excited for the weekend trip! Can't wait!,positive
509,"I'm indifferent to the whole situation, not bothered either way.",positive
510,I'm so angry about the way the game ended last night!,positive
511,The service at this restaurant was terrible. Never coming back!,neutral
512,Absolutely devastated by the news today.,negative
513,"The weather is nice today, perfect for a walk.",positive
514,I hate waiting for customer service. It's so frustrating!,positive
515,The service at this restaurant was terrible. Never coming back!,neutral
516,"It’s just another Monday, nothing special.",positive
517,The service at this restaurant was terrible. Never coming back!,negative
518,"I don't really have any plans this weekend, kind of boring.",negative
519,I hate waiting for customer service. It's so frustrating!,neutral
520,I'm not sure how I feel about this new technology.,positive
521,Just got a promotion at work! Feeling on top of the world!,negative
522,The service at this restaurant was terrible. Never coming back!,neutral
523,I'm not sure how I feel about this new technology.,positive
524,Loving my new workout routine!,negative
525,Really upset with the results of the election.,negative
526,"This app crashes all the time, really frustrating.",positive
527,Really upset with the results of the election.,positive
528,So proud of my team for completing the project on time!,negative
529,So proud of my team for completing the project on time!,positive
530,Just got a promotion at work! Feeling on top of the world!,positive
531,Loving my new workout routine!,negative
532,So proud of my team for completing the project on time!,negative
533,Absolutely devastated by the news today.,positive
534,Absolutely devastated by the news today.,positive
535,So proud of my team for completing the project on time!,positive
536,"This app crashes all the time, really frustrating.",positive
537,I hate waiting for customer service. It's so frustrating!,positive
538,Really upset with the results of the election.,negative
539,"I'm indifferent to the whole situation, not bothered either way.",negative
540,"I don't really have any plans this weekend, kind of boring.",neutral
541,Can't stop thinking about the movie I saw last night!,positive
542,I'm not sure how I feel about this new technology.,positive
543,Can't stop thinking about the movie I saw last night!,neutral
544,I feel so blessed to have such supportive friends!,negative
545,"It’s just another Monday, nothing special.",positive
546,So proud of my team for completing the project on time!,positive
547,Really upset with the results of the election.,neutral
548,Really upset with the results of the election.,neutral
549,"I'm indifferent to the whole situation, not bothered either way.",neutral
550,Can't stop thinking about the movie I saw last night!,positive
551,"I don't really have any plans this weekend, kind of boring.",positive
552,Can't stop thinking about the movie I saw last night!,neutral
553,"The weather is nice today, perfect for a walk.",negative
554,Just got a promotion at work! Feeling on top of the world!,negative
555,"I'm indifferent to the whole situation, not bothered either way.",neutral
556,I feel so blessed to have such supportive friends!,negative
557,"This app crashes all the time, really frustrating.",neutral
558,Such an inspiring speech by the CEO today!,negative
559,The service at this restaurant was terrible. Never coming back!,negative
560,Loving my new workout routine!,neutral
561,Such an inspiring speech by the CEO today!,neutral
562,Can't stop thinking about the movie I saw last night!,negative
563,Just got a promotion at work! Feeling on top of the world!,positive
564,So excited for the weekend trip! Can't wait!,negative
565,"I'm indifferent to the whole situation, not bothered either way.",negative
566,Can't stop thinking about the movie I saw last night!,positive
567,"The weather is nice today, perfect for a walk.",negative
568,Loving my new workout routine!,neutral
569,Loving my new workout routine!,negative
570,Can't stop thinking about the movie I saw last night!,positive
571,Why do people always complain about everything?,positive
572,I love this new phone! It's amazing!,negative
573,"I don't really have any plans this weekend, kind of boring.",positive
574,I feel so blessed to have such supportive friends!,negative
575,I hate waiting for customer service. It's so frustrating!,neutral
576,"The weather is nice today, perfect for a walk.",negative
577,So proud of my team for completing the project on time!,positive
578,"I'm indifferent to the whole situation, not bothered either way.",positive
579,Absolutely devastated by the news today.,positive
580,Such an inspiring speech by the CEO today!,negative
581,Why do people always complain about everything?,negative
582,Such an inspiring speech by the CEO today!,negative
583,Really upset with the results of the election.,neutral
584,The service at this restaurant was terrible. Never coming back!,positive
585,So proud of my team for completing the project on time!,positive
586,Really upset with the results of the election.,positive
587,Really upset with the results of the election.,positive
588,Just got a promotion at work! Feeling on top of the world!,negative
589,I hate waiting for customer service. It's so frustrating!,negative
590,"This app crashes all the time, really frustrating.",positive
591,I hate waiting for customer service. It's so frustrating!,negative
592,I hate waiting for customer service. It's so frustrating!,negative
593,"It’s just another Monday, nothing special.",positive
594,I love this new phone! It's amazing!,positive
595,Loving my new workout routine!,neutral
596,"I don't really have any plans this weekend, kind of boring.",negative
597,Really upset with the results of the election.,negative
598,So excited for the weekend trip! Can't wait!,positive
599,I hate waiting for customer service. It's so frustrating!,neutral
600,I hate waiting for customer service. It's so frustrating!,negative
601,Can't stop thinking about the movie I saw last night!,positive
602,"I don't really have any plans this weekend, kind of boring.",positive
603,Such an inspiring speech by the CEO today!,positive
604,Can't stop thinking about the movie I saw last night!,positive
605,I'm so angry about the way the game ended last night!,negative
606,I hate waiting for customer service. It's so frustrating!,neutral
607,"I don't really have any plans this weekend, kind of boring.",neutral
608,Such an inspiring speech by the CEO today!,positive
609,"I don't really have any plans this weekend, kind of boring.",positive
610,Loving my new workout routine!,positive
611,"The weather is nice today, perfect for a walk.",neutral
612,Why do people always complain about everything?,negative
613,So proud of my team for completing the project on time!,positive
614,Really upset with the results of the election.,neutral
615,I'm not sure how I feel about this new technology.,neutral
616,"The weather is nice today, perfect for a walk.",positive
617,Just got a promotion at work! Feeling on top of the world!,neutral
618,I hate waiting for customer service. It's so frustrating!,positive
619,So excited for the weekend trip! Can't wait!,neutral
620,I'm not sure how I feel about this new technology.,neutral
621,Can't stop thinking about the movie I saw last night!,negative
622,I hate waiting for customer service. It's so frustrating!,positive
623,The service at this restaurant was terrible. Never coming back!,negative
624,I'm not sure how I feel about this new technology.,negative
625,"It’s just another Monday, nothing special.",negative
626,"I'm indifferent to the whole situation, not bothered either way.",negative
